id,logged_at,model_version,symbol,strike,option_type,direction,score,trend,mark,bid,ask,delta,theta,iv,volume,gex_negative,dex_bias,spy_price,surge,out_5m_price,out_5m_pnl,out_5m_correct,out_10m_price,out_10m_pnl,out_10m_correct,out_15m_price,out_15m_pnl,out_15m_correct,out_30m_price,out_30m_pnl,out_30m_correct
56,2026-03-11T16:26:02,v2.0,.SPY260311C673,673.0,Call,Bullish,42.8,Choppy,3.065,2.94,3.19,0.94,-0.05,37.16,48176.0,0,Bullish,676.33,0,3.065,0.0,0,3.065,0.0,0,3.065,0.0,0,3.065,0.0,0
57,2026-03-11T16:26:08,v2.0,.SPY260311C672,672.0,Call,Bullish,42.9,Choppy,4.04,3.94,4.14,1.0,0.0,0.0,16276.0,0,Bullish,676.33,0,4.04,0.0,0,4.04,0.0,0,4.04,0.0,0,4.04,0.0,0
58,2026-03-11T16:26:10,v2.0,.SPY260311P677,677.0,Put,Bearish,46.1,Choppy,0.975,0.9,1.05,0.93,-0.02,12.26,224093.0,0,Bullish,676.33,0,0.975,0.0,0,0.975,0.0,0,0.975,0.0,0,0.975,0.0,0
59,2026-03-11T16:27:02,v2.0,.SPY260311C673,673.0,Call,Bullish,42.7,Choppy,3.065,2.94,3.19,0.94,-0.06,38.7,48176.0,0,Bullish,676.33,0,3.065,0.0,0,3.065,0.0,0,3.065,0.0,0,3.065,0.0,0
60,2026-03-11T16:27:08,v2.0,.SPY260311C672,672.0,Call,Bullish,43.3,Choppy,4.04,3.94,4.14,0.97,-0.03,43.07,16276.0,0,Bullish,676.33,0,4.04,0.0,0,4.04,0.0,0,4.04,0.0,0,4.04,0.0,0
61,2026-03-11T16:27:11,v2.0,.SPY260311P677,677.0,Put,Bearish,45.1,Choppy,0.975,0.9,1.05,1.0,0.0,10.67,224093.0,0,Bullish,676.33,0,0.975,0.0,0,0.975,0.0,0,0.975,0.0,0,0.975,0.0,0
62,2026-03-11T16:28:02,v2.0,.SPY260311C673,673.0,Call,Bullish,54.7,Choppy,3.065,2.94,3.19,0.98,-0.02,30.36,48176.0,1,Bullish,676.33,0,3.065,0.0,0,3.065,0.0,0,3.065,0.0,0,3.065,0.0,0
63,2026-03-11T16:28:09,v2.0,.SPY260311C672,672.0,Call,Bullish,55.4,Choppy,4.04,3.94,4.14,1.0,0.0,0.0,16276.0,1,Bullish,676.33,0,4.04,0.0,0,4.04,0.0,0,4.04,0.0,0,4.04,0.0,0
64,2026-03-11T16:28:11,v2.0,.SPY260311P677,677.0,Put,Bearish,58.6,Choppy,0.975,0.9,1.05,0.91,-0.03,13.53,224093.0,1,Bullish,676.33,0,0.975,0.0,0,0.975,0.0,0,0.975,0.0,0,0.975,0.0,0
65,2026-03-11T16:28:26,v2.0,.SPY260311P681,681.0,Put,Bearish,49.5,Choppy,4.945,4.84,0.0,0.95,0.0,49.45,11724.0,1,Bullish,676.33,0,4.945,0.0,0,4.945,0.0,0,4.945,0.0,0,4.945,0.0,0
